title,episodes,rating,ratings_given,start_year,end_year,genres
Breaking Bad,62,9.5,2200000.0,2008,2013,"['Crime', 'Drama', 'Thriller']"
Planet Earth II,6,9.5,163000.0,2016,,['Documentary']
Planet Earth,11,9.4,224000.0,2006,,['Documentary']
Band of Brothers,10,9.4,547000.0,2001,,"['Action', 'Drama', 'History', 'War']"
Chernobyl,5,9.3,912000.0,2019,,"['Drama', 'History', 'Thriller']"
The Wire,60,9.3,392000.0,2002,2008,"['Crime', 'Drama', 'Thriller']"
Avatar: The Last Airbender,62,9.3,392000.0,2005,2008,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
Blue Planet II,7,9.3,49000.0,2017,,['Documentary']
The Sopranos,86,9.2,501000.0,1999,2007,"['Crime', 'Drama']"
Cosmos: A Spacetime Odyssey,13,9.2,132000.0,2014,,['Documentary']
Cosmos,13,9.3,46000.0,1980,,['Documentary']
Our Planet,12,9.2,54000.0,2019,2023,['Documentary']
Game of Thrones,74,9.2,2400000.0,2011,2019,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Bluey,194,9.3,34000.0,2018,,"['Animation', 'Family']"
The World at War,26,9.2,32000.0,1973,1974,"['Documentary', 'History', 'War']"
Fullmetal Alchemist: Brotherhood,68,9.1,210000.0,2009,2010,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']"
Rick and Morty,78,9.1,629000.0,2013,,"['Animation', 'Adventure', 'Comedy', 'Sci-Fi']"
Life,11,9.1,44000.0,2009,,"['Horror', 'Sci-Fi', 'Thriller']"
The Last Dance,10,9.0,161000.0,2020,,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
The Twilight Zone,156,9.0,98000.0,1959,1964,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
The Vietnam War,10,9.1,30000.0,2017,,"['Documentary', 'History', 'War']"
Sherlock,15,9.1,1000000.0,2010,2017,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Attack on Titan,98,9.1,567000.0,2013,2023,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']"
Batman: The Animated Series,85,9.0,123000.0,1992,1995,"['Animation', 'Action', 'Adventure', 'Crime', 'Family', 'Mystery', 'Sci-Fi']"
Arcane,18,9.0,342000.0,2021,2024,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']"
Better Call Saul,63,9.0,695000.0,2015,2022,"['Crime', 'Drama']"
The Office,188,9.0,749000.0,2005,2013,['Comedy']
The Blue Planet,8,9.0,44000.0,2001,,['Documentary']
Clarkson's Farm,25,9.0,67000.0,2021,,"['Documentary', 'Comedy', 'Reality-TV']"
Scam 1992: The Harshad Mehta Story,10,9.2,162000.0,2020,,"['Biography', 'Crime', 'Drama', 'Thriller']"
Human Planet,8,9.0,29000.0,2011,,['Documentary']
Frozen Planet,10,9.0,34000.0,2011,2012,['Documentary']
Hunter x Hunter,148,9.0,151000.0,2011,2014,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy']"
Firefly,14,8.9,287000.0,2002,2003,"['Adventure', 'Drama', 'Sci-Fi']"
Only Fools and Horses,64,9.0,59000.0,1981,2003,['Comedy']
Death Note,37,8.9,403000.0,2006,2007,"['Animation', 'Crime', 'Drama', 'Fantasy', 'Mystery', 'Thriller']"
The Civil War,9,9.0,20000.0,1990,,"['Documentary', 'History', 'War']"
Gravity Falls,41,8.9,148000.0,2012,2016,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Seinfeld,172,8.9,362000.0,1989,1998,['Comedy']
Dekalog,10,8.9,29000.0,1989,1990,['Drama']
The Beatles: Get Back,3,8.9,30000.0,2021,,"['Documentary', 'Biography', 'Music']"
Cowboy Bebop,26,8.9,147000.0,1998,1999,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']"
True Detective,31,8.9,679000.0,2014,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Fargo,51,8.9,435000.0,2014,2024,"['Crime', 'Drama', 'Thriller']"
Persona,22,9.0,50000.0,2018,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Nathan for You,32,8.9,41000.0,2013,2017,"['Documentary', 'Comedy']"
As If,56,9.0,26000.0,2021,,['Comedy']
Apocalypse: The Second World War,6,9.0,16000.0,2009,,"['Documentary', 'History', 'War']"
Taskmaster,172,9.0,23000.0,2015,,"['Comedy', 'Game-Show']"
When They See Us,4,8.8,144000.0,2019,,"['Biography', 'Crime', 'Drama', 'History']"
Africa,7,8.9,18000.0,2013,,['Documentary']
Last Week Tonight with John Oliver,372,8.8,98000.0,2014,,"['Comedy', 'News', 'Talk-Show']"
Friends,235,8.9,1100000.0,1994,2004,"['Comedy', 'Romance']"
Succession,39,8.8,298000.0,2018,2023,"['Comedy', 'Drama']"
It's Always Sunny in Philadelphia,172,8.8,260000.0,2005,,['Comedy']
TVF Pitchers,10,9.1,74000.0,2015,2022,"['Comedy', 'Drama']"
Frieren: Beyond Journey's End,28,8.9,29000.0,2023,2024,['Animation']
The West Wing,155,8.9,89000.0,1999,2006,['Drama']
One Piece,1137,9.0,273000.0,1999,,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']"
Monty Python's Flying Circus,45,8.8,81000.0,1969,1974,['Comedy']
Curb Your Enthusiasm,120,8.8,153000.0,2000,2024,['Comedy']
Das Boot,3,8.8,35000.0,1985,,"['Drama', 'War']"
BoJack Horseman,77,8.8,201000.0,2014,2020,"['Animation', 'Comedy', 'Drama']"
The Chosen,36,9.2,52000.0,2017,,"['Drama', 'History']"
Fawlty Towers,12,8.8,103000.0,1975,1979,['Comedy']
Leyla and Mecnun,144,9.1,98000.0,2011,2023,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Romance']"
Dragon Ball Z,277,8.8,156000.0,1996,2003,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']"
Blackadder Goes Forth,6,8.8,59000.0,1989,,"['Comedy', 'War']"
Freaks and Geeks,18,8.8,157000.0,1999,2000,"['Comedy', 'Drama']"
Pride and Prejudice,6,8.8,95000.0,1995,,"['Drama', 'Romance']"
Panchayat,32,9.0,99000.0,2020,,"['Comedy', 'Drama']"
Twin Peaks,30,8.7,223000.0,1990,1991,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Dragon Ball Z,291,8.8,92000.0,1989,1996,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']"
Chappelle's Show,33,8.8,74000.0,2003,2006,"['Comedy', 'Music']"
Narcos,30,8.7,487000.0,2015,2017,"['Biography', 'Crime', 'Drama', 'Thriller']"
Bleach: Thousand-Year Blood War,40,9.0,51000.0,2022,,"['Animation', 'Action', 'Adventure', 'Fantasy']"
Gullak,20,9.1,25000.0,2019,,"['Comedy', 'Drama', 'Family']"
Vinland Saga,48,8.8,87000.0,2019,2023,"['Animation', 'Action', 'Adventure', 'Drama', 'History']"
"I, Claudius",13,8.8,20000.0,1976,,"['Biography', 'Drama', 'History']"
X-Men '97,12,8.8,39000.0,2024,,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Kota Factory,15,9.0,86000.0,2019,2021,"['Comedy', 'Drama']"
Black Mirror,33,8.7,663000.0,2011,,"['Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
South Park,327,8.7,415000.0,1997,,"['Animation', 'Comedy']"
Over the Garden Wall,10,8.7,77000.0,2014,,"['Animation', 'Short', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Horror', 'Mystery']"
Ted Lasso,35,8.8,376000.0,2020,,"['Comedy', 'Drama', 'Sport']"
Reply 1988,20,9.0,14000.0,2015,2016,"['Comedy', 'Drama', 'Family', 'Romance']"
Peaky Blinders,36,8.7,685000.0,2013,2022,"['Crime', 'Drama']"
Six Feet Under,63,8.7,155000.0,2001,2005,"['Comedy', 'Drama']"
Rome,22,8.7,191000.0,2005,2007,"['Action', 'Drama', 'Romance', 'War']"
Steins;Gate,26,8.8,79000.0,2011,2015,"['Animation', 'Comedy', 'Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']"
Oz,56,8.7,110000.0,1997,2003,"['Crime', 'Drama', 'Thriller']"
My Mister,16,9.0,11000.0,2018,,"['Drama', 'Family']"
Dark,26,8.7,470000.0,2017,2020,"['Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Berserk,25,8.7,60000.0,1997,1998,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Romance']"
The Last of Us,16,8.7,584000.0,2023,,"['Action', 'Adventure', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']"
Fleabag,12,8.7,217000.0,2016,2019,"['Comedy', 'Drama']"
Downton Abbey,52,8.7,231000.0,2010,2015,"['Drama', 'Romance']"
The Shield,89,8.7,91000.0,2002,2008,"['Crime', 'Drama', 'Thriller']"
Battlestar Galactica,74,8.7,180000.0,2004,2009,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
The Penguin,8,8.7,132000.0,2024,,"['Crime', 'Drama']"
Severance,19,8.7,231000.0,2022,,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Blue Eye Samurai,8,8.7,82000.0,2023,,"['Animation', 'Action', 'Adventure', 'Drama', 'History', 'Thriller']"
The Grand Tour,46,8.7,88000.0,2016,2024,"['Comedy', 'Sport', 'Talk-Show']"
The Simpsons,778,8.7,446000.0,1989,,"['Animation', 'Comedy']"
Mad Men,92,8.7,269000.0,2007,2015,['Drama']
Peep Show,54,8.7,69000.0,2003,2015,['Comedy']
House,176,8.7,539000.0,2004,2012,"['Drama', 'Mystery']"
Star Trek: The Next Generation,176,8.7,141000.0,1987,1994,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Arrested Development,84,8.7,330000.0,2003,2019,['Comedy']
One Punch Man,25,8.7,195000.0,2015,,"['Animation', 'Action', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
The Boys,40,8.7,740000.0,2019,,"['Action', 'Comedy', 'Crime', 'Drama', 'Sci-Fi']"
Invincible,23,8.7,223000.0,2021,,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller']"
Naruto: Shippuden,501,8.7,185000.0,2007,2017,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']"
Justice League Unlimited,39,8.7,22000.0,2004,2006,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']"
Monster,75,8.7,52000.0,2004,2005,"['Animation', 'Crime', 'Drama', 'Mystery', 'Thriller']"
The Adventures of Sherlock Holmes,13,8.7,25000.0,1984,1985,"['Crime', 'Drama', 'Mystery']"
Mahabharat,94,8.9,25000.0,1988,1990,"['Drama', 'History', 'War']"
Stranger Things,42,8.7,1400000.0,2016,2025,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
Friday Night Lights,76,8.7,75000.0,2006,2011,"['Drama', 'Sport']"
The Marvelous Mrs,43,8.7,148000.0,2017,2023,"['Comedy', 'Drama']"
Line of Duty,36,8.7,74000.0,2012,2021,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Top Gear,328,8.7,130000.0,2002,2022,"['Adventure', 'Sport', 'Talk-Show']"
1883,10,8.7,126000.0,2021,2022,"['Drama', 'Western']"
The Thick of It,24,8.7,27000.0,2005,2012,['Comedy']
Behzat Ç: An Ankara Detective Story,105,8.8,34000.0,2010,2019,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Sarabhai V/S Sarabhai,79,8.9,19000.0,2004,2017,['Comedy']
How to with John Wilson,18,8.7,15000.0,2020,2023,"['Documentary', 'Comedy']"
This Is Us,106,8.7,164000.0,2016,2022,"['Comedy', 'Drama', 'Romance']"
Aspirants,10,9.2,314000.0,2021,,['Drama']
Father Ted,25,8.7,45000.0,1995,1998,['Comedy']
The Mandalorian,25,8.6,608000.0,2019,,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Code Geass,54,8.7,86000.0,2006,2008,"['Animation', 'Action', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller']"
House of Cards,73,8.6,540000.0,2013,2018,['Drama']
Parks and Recreation,124,8.6,297000.0,2009,2015,['Comedy']
Atlanta,41,8.6,92000.0,2016,2022,"['Comedy', 'Drama', 'Music']"
The X-Files,217,8.6,257000.0,1993,2018,"['Adventure', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Deadwood,36,8.6,121000.0,2004,2006,"['Crime', 'Drama', 'History', 'Western']"
The Crown,60,8.6,265000.0,2016,2023,"['Biography', 'Drama', 'History']"
Dexter,96,8.6,807000.0,2006,2013,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Adventure Time,289,8.6,118000.0,2010,2018,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Shōgun,12,8.6,190000.0,2024,2026,"['Adventure', 'Drama', 'History', 'War']"
Ramayan,78,9.0,25000.0,1987,1988,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Musical', 'War']"
It's a Sin,5,8.6,38000.0,2021,,['Drama']
The Bridge,38,8.6,79000.0,2011,2018,"['Crime', 'Mystery', 'Thriller']"
Primal,21,8.7,23000.0,2019,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Daredevil,39,8.6,487000.0,2015,2018,"['Action', 'Crime', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller']"
Blackadder II,6,8.6,51000.0,1986,,['Comedy']
Lonesome Dove,4,8.7,27000.0,1989,,"['Adventure', 'Drama', 'Western']"
Mr Inbetween,26,8.7,36000.0,2018,2021,"['Crime', 'Drama']"
Mindhunter,19,8.6,355000.0,2017,2019,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Poirot,70,8.6,54000.0,1989,2013,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Haikyu!!,89,8.7,41000.0,2014,2020,"['Animation', 'Comedy', 'Drama', 'Sport']"
The Jinx: The Life and Deaths of Robert Durst,12,8.6,55000.0,2015,2024,"['Documentary', 'Biography', 'Crime', 'Mystery']"
Mr,15,8.6,139000.0,1990,1995,"['Crime', 'Drama', 'Thriller']"
The Offer,10,8.6,43000.0,2022,,"['Biography', 'Crime', 'Drama']"
The Return of Sherlock Holmes,13,8.7,14000.0,1986,1988,"['Crime', 'Drama', 'Mystery']"
Crash Landing on You,19,8.7,47000.0,2019,2020,"['Action', 'Musical', 'Romance']"
Scavengers Reign,12,8.6,25000.0,2023,,"['Animation', 'Adventure', 'Drama', 'Sci-Fi']"
Gomorrah,58,8.6,46000.0,2014,2021,"['Crime', 'Drama', 'Thriller']"
Pose,26,8.6,34000.0,2018,2021,['Drama']
Yes Minister,22,8.6,17000.0,1980,1984,['Comedy']
Fighting Spirit,76,8.8,12000.0,2000,2002,"['Animation', 'Action', 'Comedy', 'Sport']"
Blackadder the Third,6,8.6,48000.0,1987,,['Comedy']
Mystery Science Theater 3000,199,8.6,27000.0,1988,1999,"['Comedy', 'Sci-Fi']"
Anne with an E,27,8.6,71000.0,2017,2019,"['Drama', 'Family']"
Archer,144,8.6,169000.0,2009,2023,"['Animation', 'Action', 'Comedy']"
Greatest Events of WWII in Colour,10,8.6,12000.0,2019,,"['Documentary', 'History', 'War']"
Critical Role,432,9.1,14000.0,2015,,"['Adventure', 'Fantasy']"
The Newsroom,25,8.6,128000.0,2012,2014,['Drama']
Dopesick,8,8.6,83000.0,2021,,['Drama']
Demon Slayer: Kimetsu no Yaiba,69,8.6,172000.0,2019,,"['Animation', 'Action']"
Young Justice,99,8.6,47000.0,2010,2022,"['Animation', 'Action', 'Adventure', 'Crime', 'Fantasy', 'Romance', 'Sci-Fi']"
Yeh Meri Family,22,8.9,27000.0,2018,,"['Comedy', 'Drama', 'Family', 'Musical', 'Romance']"
Boardwalk Empire,56,8.6,208000.0,2010,2014,"['Crime', 'Drama']"
QI,350,8.6,34000.0,2003,,"['Comedy', 'Game-Show']"
Homicide: Life on the Street,122,8.7,15000.0,1993,1999,"['Crime', 'Drama', 'Mystery', 'Thriller']"
El Chavo del Ocho,357,8.7,14000.0,1972,1983,"['Comedy', 'Family']"
Justified,78,8.6,122000.0,2010,2015,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Western']"
The Bureau,50,8.7,15000.0,2015,2020,"['Drama', 'Thriller']"
The Bugs Bunny Show,78,8.6,36000.0,1960,1975,"['Animation', 'Comedy']"
Yellowstone,53,8.7,244000.0,2018,,"['Drama', 'Western']"
What We Do in the Shadows,61,8.6,112000.0,2019,2024,"['Comedy', 'Fantasy', 'Horror']"
The Haunting of Hill House,10,8.5,302000.0,2018,,"['Drama', 'Horror', 'Mystery', 'Thriller']"
The Family Man,20,8.7,102000.0,2019,,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
Dragon Ball,153,8.5,70000.0,1986,1989,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
Justice League,52,8.5,53000.0,2001,2004,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Battlestar Galactica,2,8.5,82000.0,2003,,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Dragon Ball,153,8.5,67000.0,1995,2003,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
The Venture Bros.,86,8.6,29000.0,2003,2018,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
The Bear,29,8.6,255000.0,2022,,"['Comedy', 'Drama']"
Endeavour,36,8.6,35000.0,2012,2023,"['Crime', 'Drama', 'Mystery']"
"Yes, Prime Minister",16,8.6,13000.0,1986,1987,['Comedy']
Flight of the Conchords,22,8.5,67000.0,2007,2009,"['Comedy', 'Music', 'Musical']"
The Queen's Gambit,7,8.5,589000.0,2020,,['Drama']
Rocket Boys,16,8.9,19000.0,2022,,"['Drama', 'History']"
Samurai Champloo,26,8.5,58000.0,2004,2005,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Thriller']"
Coupling,28,8.5,49000.0,2000,2004,"['Comedy', 'Romance']"
Making a Murderer,20,8.5,105000.0,2015,2018,"['Documentary', 'Crime']"
The IT Crowd,26,8.5,168000.0,2006,2013,['Comedy']
Ezel,71,8.7,39000.0,2009,2011,"['Crime', 'Drama', 'Thriller']"
Mr,45,8.5,431000.0,2015,2019,"['Crime', 'Drama', 'Thriller']"
Jujutsu Kaisen,48,8.5,137000.0,2020,,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']"
Black Sun,20,8.8,13000.0,2017,2020,"['Crime', 'Drama', 'Thriller']"
Impractical Jokers,300,8.6,48000.0,2011,,"['Comedy', 'Reality-TV']"
I'm Alan Partridge,12,8.6,23000.0,1997,2002,['Comedy']
Samurai Jack,62,8.5,62000.0,2001,2017,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller']"
Detectorists,20,8.6,23000.0,2014,2022,['Comedy']
Spaced,14,8.5,59000.0,1999,2001,['Comedy']
Happy Valley,18,8.5,67000.0,2014,2023,"['Crime', 'Drama', 'Thriller']"
Long Way Round,10,8.6,16000.0,2004,2010,"['Documentary', 'Adventure']"
The Eric Andre Show,68,8.6,23000.0,2012,,"['Comedy', 'Talk-Show']"
Mob Psycho 100,37,8.5,51000.0,2016,2022,"['Animation', 'Action', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Sci-Fi']"
Spartacus,33,8.5,262000.0,2010,2013,"['Action', 'Adventure', 'Biography', 'Drama', 'Romance']"
Whose Line Is It Anyway?,220,8.5,47000.0,1998,2007,"['Comedy', 'Game-Show']"
Louie,61,8.5,83000.0,2010,2015,"['Comedy', 'Drama']"
Sons of Anarchy,92,8.6,333000.0,2008,2014,"['Crime', 'Drama', 'Thriller']"
Regular Show,244,8.5,63000.0,2010,2017,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller']"
Through the Wormhole,62,8.6,19000.0,2010,2017,['Documentary']
The Office,14,8.5,126000.0,2001,2003,['Comedy']
Derry Girls,19,8.5,65000.0,2018,2022,['Comedy']
Twin Peaks,18,8.5,79000.0,2017,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Neon Genesis Evangelion,26,8.5,92000.0,1995,1996,"['Animation', 'Action', 'Drama', 'Sci-Fi']"
Trailer Park Boys,106,8.5,53000.0,2001,2018,"['Comedy', 'Crime']"
Formula 1: Drive to Survive,60,8.5,53000.0,2019,,"['Documentary', 'Sport']"
Schitt's Creek,80,8.5,154000.0,2015,2020,['Comedy']
Spartacus: Gods of the Arena,6,8.5,148000.0,2011,,"['Action', 'Adventure', 'Biography', 'Drama', 'History', 'Romance']"
Brass Eye,7,8.6,12000.0,1997,2001,['Comedy']
Shameless,134,8.5,301000.0,2011,2021,"['Comedy', 'Drama']"
Skam,43,8.6,40000.0,2015,2017,"['Drama', 'Romance']"
Silicon Valley,53,8.5,171000.0,2014,2019,['Comedy']
My Brilliant Friend,34,8.6,20000.0,2018,2024,['Drama']
North & South,4,8.6,36000.0,2004,,"['Drama', 'History', 'Romance', 'War']"
Futurama,180,8.5,267000.0,1999,,"['Animation', 'Adventure', 'Comedy', 'Sci-Fi']"
Rurouni Kenshin: Trust and Betrayal,4,8.6,17000.0,1999,,"['Animation', 'Action', 'Adventure', 'Drama', 'History', 'Romance']"
Fullmetal Alchemist,51,8.5,80000.0,2003,2004,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']"
The Expanse,62,8.5,178000.0,2015,2022,"['Drama', 'Mystery', 'Sci-Fi']"
Alchemy of Souls,30,8.7,20000.0,2022,,"['Action', 'Drama', 'Fantasy', 'Romance', 'Thriller']"
Doctor Who,175,8.5,253000.0,2005,2022,"['Adventure', 'Drama', 'Sci-Fi']"
Hannibal,39,8.5,285000.0,2013,2015,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']"
Extraordinary Attorney Woo,16,8.6,30000.0,2022,,['Drama']
Avrupa Yakasi,190,8.6,22000.0,2004,2009,['Comedy']
From the Earth to the Moon,12,8.6,14000.0,1998,,"['Action', 'Drama', 'History', 'Thriller']"
Wentworth,100,8.6,25000.0,2013,2021,"['Crime', 'Drama', 'Thriller']"
Letterkenny,81,8.6,31000.0,2016,2023,['Comedy']
Your Lie in April,24,8.5,41000.0,2014,2015,"['Animation', 'Comedy', 'Drama', 'Music', 'Romance']"
Umbre,21,8.7,12000.0,2014,2019,"['Crime', 'Drama', 'Thriller']"
Foyle's War,28,8.6,19000.0,2002,2015,"['Crime', 'Drama', 'Mystery', 'War']"
Gintama,375,8.7,17000.0,2005,2021,"['Animation', 'Action', 'Comedy', 'Sci-Fi']"
The Great British Baking Show,189,8.6,13000.0,2010,,['Reality-TV']
Community,110,8.5,300000.0,2009,2015,['Comedy']
